,date,country,D,H,I,M,S
572,2021-10-08,Japan,30,0,0,91,0
573,2021-10-09,Afghanistan,6,0,0,31,0
574,2021-10-09,Sweden,1,0,0,8,0
575,2021-10-09,Japan,30,0,0,91,0
576,2021-10-10,Afghanistan,6,0,0,31,0
577,2021-10-10,Sweden,1,0,0,8,0
578,2021-10-10,Japan,30,0,0,91,0
579,2021-10-11,Afghanistan,6,0,0,31,0
580,2021-10-11,Sweden,1,0,0,8,0
581,2021-10-11,Japan,30,0,0,91,0
582,2021-10-12,Afghanistan,6,0,0,31,0
583,2021-10-12,Sweden,1,0,0,8,0
584,2021-10-12,Japan,30,0,0,91,0
585,2021-10-13,Afghanistan,6,0,0,31,0
586,2021-10-13,Sweden,1,0,0,8,0
587,2021-10-13,Japan,30,0,0,91,0
588,2021-10-14,Afghanistan,6,0,0,31,0
589,2021-10-14,Sweden,1,0,0,8,0
590,2021-10-14,Japan,30,0,0,91,0
591,2021-10-15,Afghanistan,6,0,0,31,0
592,2021-10-15,Sweden,1,0,0,8,0
593,2021-10-15,Japan,30,0,0,91,0
594,2021-10-16,Afghanistan,6,0,0,31,0
595,2021-10-16,Sweden,1,0,0,8,0
596,2021-10-16,Japan,30,0,0,91,0
597,2021-10-17,Afghanistan,6,0,0,31,0
598,2021-10-17,Sweden,1,0,0,8,0
599,2021-10-17,Japan,30,0,0,91,0
600,2021-10-18,Afghanistan,6,0,0,31,0
601,2021-10-18,Sweden,1,0,0,8,0
602,2021-10-18,Japan,30,0,0,91,0
603,2021-10-19,Afghanistan,6,0,0,31,0
604,2021-10-19,Sweden,1,0,0,8,0
605,2021-10-19,Japan,30,0,0,91,0
606,2021-10-20,Afghanistan,6,0,0,31,0
607,2021-10-20,Sweden,1,0,0,8,0
608,2021-10-20,Japan,30,0,0,91,0
609,2021-10-21,Afghanistan,6,0,0,31,0
610,2021-10-21,Sweden,1,0,0,8,0
611,2021-10-21,Japan,30,0,0,91,0
612,2021-10-22,Afghanistan,6,0,0,31,0
613,2021-10-22,Sweden,1,0,0,8,0
614,2021-10-22,Japan,30,0,0,91,0
615,2021-10-23,Afghanistan,6,0,0,31,0
616,2021-10-23,Sweden,1,0,0,8,0
617,2021-10-23,Japan,30,0,0,91,0
618,2021-10-24,Afghanistan,6,0,0,31,0
619,2021-10-24,Sweden,1,0,0,8,0
620,2021-10-24,Japan,30,0,0,91,0
621,2021-10-25,Afghanistan,6,0,0,31,0
622,2021-10-25,Sweden,1,0,0,8,0
623,2021-10-25,Japan,30,0,0,91,0
624,2021-10-26,Afghanistan,6,0,0,31,0
625,2021-10-26,Sweden,1,0,0,8,0
626,2021-10-26,Japan,30,0,0,91,0
627,2021-10-27,Afghanistan,6,0,0,31,0
628,2021-10-27,Sweden,1,0,0,8,0
629,2021-10-27,Japan,30,0,0,91,0
630,2021-10-28,Afghanistan,6,0,0,31,0
631,2021-10-28,Sweden,1,0,0,8,0
632,2021-10-28,Japan,30,0,0,91,0
633,2021-10-29,Afghanistan,6,0,0,31,0
634,2021-10-29,Sweden,1,0,0,8,0
635,2021-10-29,Japan,30,0,0,91,0
636,2021-10-30,Afghanistan,6,0,0,31,0
637,2021-10-30,Sweden,1,0,0,8,0
638,2021-10-30,Japan,30,0,0,91,0
639,2021-10-31,Afghanistan,6,0,0,31,0
640,2021-10-31,Sweden,1,0,0,8,0
641,2021-10-31,Japan,30,0,0,91,0
642,2021-11-01,Afghanistan,6,0,0,31,0
643,2021-11-01,Sweden,1,0,0,8,0
644,2021-11-01,Japan,30,0,0,91,0
645,2021-11-02,Afghanistan,6,0,0,31,0
646,2021-11-02,Sweden,1,0,0,8,0
647,2021-11-02,Japan,30,0,0,91,0
648,2021-11-03,Afghanistan,6,0,0,31,0
649,2021-11-03,Sweden,1,0,0,8,0
650,2021-11-03,Japan,30,0,0,91,0
651,2021-11-04,Afghanistan,6,0,0,31,0
652,2021-11-04,Sweden,1,0,0,8,0
653,2021-11-04,Japan,30,0,0,91,0
654,2021-11-05,Afghanistan,6,0,0,31,0
655,2021-11-05,Sweden,1,0,0,8,0
656,2021-11-05,Japan,30,0,0,91,0
657,2021-11-06,Afghanistan,6,0,0,31,0
658,2021-11-06,Sweden,1,0,0,8,0
659,2021-11-06,Japan,30,0,0,91,0
660,2021-11-07,Afghanistan,6,0,0,31,0
661,2021-11-07,Sweden,1,0,0,8,0
662,2021-11-07,Japan,30,0,0,91,0
663,2021-11-08,Afghanistan,6,0,0,31,0
664,2021-11-08,Sweden,1,0,0,8,0
665,2021-11-08,Japan,30,0,0,91,0
666,2021-11-09,Afghanistan,6,0,0,31,0
667,2021-11-09,Sweden,1,0,0,8,0
668,2021-11-09,Japan,30,0,0,91,0
669,2021-11-10,Afghanistan,6,0,0,31,0
670,2021-11-10,Sweden,1,0,0,8,0
671,2021-11-10,Japan,30,0,0,91,0
672,2021-11-11,Afghanistan,6,0,0,31,0
673,2021-11-11,Sweden,1,0,0,8,0
674,2021-11-11,Japan,30,0,0,91,0
675,2021-11-12,Afghanistan,6,0,0,31,0
676,2021-11-12,Sweden,1,0,0,8,0
677,2021-11-12,Japan,30,0,0,91,0
678,2021-11-13,Afghanistan,6,0,0,31,0
679,2021-11-13,Sweden,1,0,0,8,0
680,2021-11-13,Japan,30,0,0,91,0
681,2021-11-14,Afghanistan,6,0,0,31,0
682,2021-11-14,Sweden,1,0,0,8,0
683,2021-11-14,Japan,30,0,0,91,0
684,2021-11-15,Afghanistan,6,0,0,31,0
685,2021-11-15,Sweden,1,0,0,8,0
686,2021-11-15,Japan,30,0,0,91,0
687,2021-11-16,Afghanistan,6,0,0,31,0
688,2021-11-16,Sweden,1,0,0,8,0
689,2021-11-16,Japan,30,0,0,91,0
690,2021-11-17,Afghanistan,6,0,0,31,0
691,2021-11-17,Sweden,1,0,0,8,0
692,2021-11-17,Japan,30,0,0,91,0
693,2021-11-18,Afghanistan,6,0,0,31,0
694,2021-11-18,Sweden,1,0,0,8,0
695,2021-11-18,Japan,30,0,0,91,0
696,2021-11-19,Afghanistan,6,0,0,31,0
697,2021-11-19,Sweden,1,0,0,8,0
698,2021-11-19,Japan,30,0,0,91,0
699,2021-11-20,Afghanistan,6,0,0,31,0
700,2021-11-20,Sweden,1,0,0,8,0
701,2021-11-20,Japan,30,0,0,91,0
702,2021-11-21,Afghanistan,6,0,0,31,0
703,2021-11-21,Sweden,1,0,0,8,0
704,2021-11-21,Japan,30,0,0,91,0
705,2021-11-22,Afghanistan,6,0,0,31,0
706,2021-11-22,Sweden,1,0,0,8,0
707,2021-11-22,Japan,30,0,0,91,0
708,2021-11-23,Afghanistan,6,0,0,31,0
709,2021-11-23,Sweden,1,0,0,8,0
710,2021-11-23,Japan,30,0,0,91,0
711,2021-11-24,Afghanistan,6,0,0,31,0
712,2021-11-24,Sweden,1,0,0,8,0
713,2021-11-24,Japan,30,0,0,91,0
714,2021-11-25,Afghanistan,6,0,0,31,0
715,2021-11-25,Sweden,1,0,0,8,0
716,2021-11-25,Japan,30,0,0,91,0
717,2021-11-26,Afghanistan,6,0,0,31,0
718,2021-11-26,Sweden,1,0,0,8,0
719,2021-11-26,Japan,30,0,0,91,0
720,2021-11-27,Afghanistan,6,0,0,31,0
721,2021-11-27,Sweden,1,0,0,8,0
722,2021-11-27,Japan,30,0,0,91,0
723,2021-11-28,Afghanistan,6,0,0,31,0
724,2021-11-28,Sweden,1,0,0,8,0
725,2021-11-28,Japan,30,0,0,91,0
726,2021-11-29,Afghanistan,6,0,0,31,0
727,2021-11-29,Sweden,1,0,0,8,0
728,2021-11-29,Japan,30,0,0,91,0
729,2021-11-30,Afghanistan,6,0,0,31,0
730,2021-11-30,Sweden,1,0,0,8,0
731,2021-11-30,Japan,30,0,0,91,0
732,2021-12-01,Afghanistan,6,0,0,31,0
733,2021-12-01,Sweden,1,0,0,8,0
734,2021-12-01,Japan,30,0,0,91,0
735,2021-12-02,Afghanistan,6,0,0,31,0
736,2021-12-02,Sweden,1,0,0,8,0
737,2021-12-02,Japan,30,0,0,91,0
738,2021-12-03,Afghanistan,6,0,0,31,0
739,2021-12-03,Sweden,1,0,0,8,0
740,2021-12-03,Japan,30,0,0,91,0
741,2021-12-04,Afghanistan,6,0,0,31,0
742,2021-12-04,Sweden,1,0,0,8,0
743,2021-12-04,Japan,30,0,0,91,0
744,2021-12-05,Afghanistan,6,0,0,31,0
745,2021-12-05,Sweden,1,0,0,8,0
746,2021-12-05,Japan,30,0,0,91,0
747,2021-12-06,Afghanistan,6,0,0,31,0
748,2021-12-06,Sweden,1,0,0,8,0
749,2021-12-06,Japan,30,0,0,91,0
750,2021-12-07,Afghanistan,6,0,0,31,0
751,2021-12-07,Sweden,1,1,0,7,0
752,2021-12-07,Japan,30,4,0,87,0
753,2021-12-08,Afghanistan,6,1,0,30,0
754,2021-12-08,Sweden,1,1,0,7,0
755,2021-12-08,Japan,30,4,1,86,0
756,2021-12-09,Afghanistan,6,2,0,29,0
757,2021-12-09,Sweden,1,0,1,7,0
758,2021-12-09,Japan,30,7,2,82,0
759,2021-12-10,Afghanistan,6,2,1,28,0
760,2021-12-10,Sweden,1,0,1,7,0
761,2021-12-10,Japan,30,7,5,79,0
762,2021-12-11,Afghanistan,6,4,1,26,0
763,2021-12-11,Sweden,1,0,1,7,0
764,2021-12-11,Japan,30,8,9,74,0
765,2021-12-12,Afghanistan,6,4,2,25,0
766,2021-12-12,Sweden,1,1,1,6,0
767,2021-12-12,Japan,30,8,11,72,0
768,2021-12-13,Afghanistan,6,3,4,24,0
769,2021-12-13,Sweden,1,2,0,5,1
770,2021-12-13,Japan,30,8,12,71,0
771,2021-12-14,Afghanistan,6,3,4,23,1
772,2021-12-14,Sweden,1,2,0,5,1
773,2021-12-14,Japan,30,10,11,69,1
774,2021-12-15,Afghanistan,6,2,5,23,1
775,2021-12-15,Sweden,1,1,1,5,1
776,2021-12-15,Japan,30,8,9,73,1
777,2021-12-16,Afghanistan,6,1,5,23,2
778,2021-12-16,Sweden,1,0,2,5,1
779,2021-12-16,Japan,30,8,8,73,2
780,2021-12-17,Afghanistan,6,1,3,25,2
781,2021-12-17,Sweden,1,0,2,5,1
782,2021-12-17,Japan,30,10,7,70,4
783,2021-12-18,Afghanistan,6,0,3,26,2
784,2021-12-18,Sweden,1,1,2,4,1
785,2021-12-18,Japan,30,9,6,71,5
786,2021-12-19,Afghanistan,6,0,2,27,2
787,2021-12-19,Sweden,1,1,1,5,1
788,2021-12-19,Japan,30,6,7,72,6
789,2021-12-20,Afghanistan,6,0,1,27,3
790,2021-12-20,Sweden,1,1,0,5,2
791,2021-12-20,Japan,30,6,5,72,8
792,2021-12-21,Afghanistan,6,1,1,26,3
793,2021-12-21,Sweden,1,2,0,4,2
794,2021-12-21,Japan,30,9,6,68,8
795,2021-12-22,Afghanistan,6,1,0,26,4
796,2021-12-22,Sweden,1,1,1,4,2
797,2021-12-22,Japan,30,9,8,66,8
798,2021-12-23,Afghanistan,6,7,0,20,4
799,2021-12-23,Sweden,1,1,2,3,2
800,2021-12-23,Japan,30,12,7,63,9
801,2021-12-24,Afghanistan,6,6,1,20,4
802,2021-12-24,Sweden,1,1,2,3,2
803,2021-12-24,Japan,30,13,11,58,9
804,2021-12-25,Afghanistan,6,7,1,19,4
805,2021-12-25,Sweden,1,0,3,3,2
806,2021-12-25,Japan,30,15,12,54,10
807,2021-12-26,Afghanistan,6,5,3,19,4
808,2021-12-26,Sweden,1,0,2,4,2
809,2021-12-26,Japan,30,12,17,51,11
810,2021-12-27,Afghanistan,6,6,3,18,4
811,2021-12-27,Sweden,1,0,1,5,2
812,2021-12-27,Japan,30,14,17,48,12
813,2021-12-28,Afghanistan,6,6,3,18,4
814,2021-12-28,Sweden,1,0,1,5,2
815,2021-12-28,Japan,30,13,18,47,13
816,2021-12-29,Afghanistan,6,8,4,15,4
817,2021-12-29,Sweden,1,0,0,6,2
818,2021-12-29,Japan,30,6,22,49,14
819,2021-12-30,Afghanistan,7,9,3,15,3
820,2021-12-30,Sweden,1,0,0,6,2
821,2021-12-30,Japan,30,3,17,54,17
822,2021-12-31,Afghanistan,7,6,8,13,3
823,2021-12-31,Sweden,1,0,0,6,2
824,2021-12-31,Japan,32,3,15,56,15
825,2022-01-01,Afghanistan,7,5,8,13,4
826,2022-01-01,Sweden,1,0,0,6,2
827,2022-01-01,Japan,32,3,11,56,19
828,2022-01-02,Afghanistan,7,2,10,14,4
829,2022-01-02,Sweden,1,0,0,6,2
830,2022-01-02,Japan,32,2,6,60,21
831,2022-01-03,Afghanistan,7,2,9,15,4
832,2022-01-03,Sweden,1,0,0,7,1
833,2022-01-03,Japan,33,1,4,63,20
834,2022-01-04,Afghanistan,7,2,5,17,6
835,2022-01-04,Sweden,1,0,0,7,1
836,2022-01-04,Japan,33,3,4,61,20
837,2022-01-05,Afghanistan,7,2,4,19,5
838,2022-01-05,Sweden,1,0,0,7,1
839,2022-01-05,Japan,33,3,5,60,20
840,2022-01-06,Afghanistan,7,1,2,20,7
841,2022-01-06,Sweden,1,0,0,7,1
842,2022-01-06,Japan,34,5,3,59,20
843,2022-01-07,Afghanistan,7,1,2,20,7
844,2022-01-07,Sweden,1,0,0,7,1
845,2022-01-07,Japan,34,9,3,55,20
846,2022-01-08,Afghanistan,7,1,2,20,7
847,2022-01-08,Sweden,1,0,0,7,1
848,2022-01-08,Japan,34,11,5,52,19
849,2022-01-09,Afghanistan,7,1,3,19,7
850,2022-01-09,Sweden,1,0,0,7,1
851,2022-01-09,Japan,34,9,5,53,20
852,2022-01-10,Afghanistan,7,1,2,20,7
853,2022-01-10,Sweden,2,0,0,7,0
854,2022-01-10,Japan,35,6,9,52,19
855,2022-01-11,Afghanistan,7,3,2,19,6
856,2022-01-11,Sweden,2,1,0,6,0
857,2022-01-11,Japan,36,3,13,52,17
858,2022-01-12,Afghanistan,7,3,2,18,7
859,2022-01-12,Sweden,2,1,0,6,0
860,2022-01-12,Japan,37,3,11,53,17
861,2022-01-13,Afghanistan,7,1,3,19,7
862,2022-01-13,Sweden,2,1,0,6,0
863,2022-01-13,Japan,39,1,11,55,15
864,2022-01-14,Afghanistan,7,0,4,19,7
865,2022-01-14,Sweden,2,1,0,6,0
866,2022-01-14,Japan,39,1,8,56,17
867,2022-01-15,Afghanistan,8,0,4,19,6
868,2022-01-15,Sweden,2,1,0,6,0
869,2022-01-15,Japan,40,2,3,61,15
870,2022-01-16,Afghanistan,8,0,3,19,7
871,2022-01-16,Sweden,2,2,0,5,0
872,2022-01-16,Japan,40,3,3,63,12
873,2022-01-17,Afghanistan,8,0,1,21,7
874,2022-01-17,Sweden,2,2,0,5,0
875,2022-01-17,Japan,40,2,2,64,13
876,2022-01-18,Afghanistan,8,0,0,23,6
877,2022-01-18,Sweden,2,2,0,5,0
878,2022-01-18,Japan,40,3,1,64,13
879,2022-01-19,Afghanistan,8,0,0,23,6
880,2022-01-19,Sweden,2,2,0,5,0
881,2022-01-19,Japan,40,1,3,64,13
882,2022-01-20,Afghanistan,8,0,0,25,4
883,2022-01-20,Sweden,2,1,1,5,0
884,2022-01-20,Japan,40,0,4,65,12
885,2022-01-21,Afghanistan,8,0,0,25,4
886,2022-01-21,Sweden,2,0,2,5,0
887,2022-01-21,Japan,40,0,3,66,12
888,2022-01-22,Afghanistan,8,0,0,25,4
889,2022-01-22,Sweden,2,0,2,5,0
890,2022-01-22,Japan,40,0,3,66,12
891,2022-01-23,Afghanistan,8,0,0,25,4
892,2022-01-23,Sweden,2,0,2,5,0
893,2022-01-23,Japan,41,0,1,69,10
894,2022-01-24,Afghanistan,8,0,0,25,4
895,2022-01-24,Sweden,2,0,1,6,0
896,2022-01-24,Japan,41,0,0,69,11
897,2022-01-25,Afghanistan,8,0,0,25,4
898,2022-01-25,Sweden,2,0,0,6,1
899,2022-01-25,Japan,41,0,0,69,11
900,2022-01-26,Afghanistan,9,0,0,25,3
901,2022-01-26,Sweden,2,0,0,6,1
902,2022-01-26,Japan,41,0,0,70,10
903,2022-01-27,Afghanistan,9,0,0,25,3
904,2022-01-27,Sweden,2,0,0,6,1
905,2022-01-27,Japan,41,0,0,72,8
906,2022-01-28,Afghanistan,9,0,0,25,3
907,2022-01-28,Sweden,2,0,0,6,1
908,2022-01-28,Japan,42,0,0,73,6
909,2022-01-29,Afghanistan,9,0,0,25,3
910,2022-01-29,Sweden,2,0,0,6,1
911,2022-01-29,Japan,43,0,0,75,3
912,2022-01-30,Afghanistan,9,0,0,26,2
913,2022-01-30,Sweden,2,0,0,6,1
914,2022-01-30,Japan,43,0,0,75,3
915,2022-01-31,Afghanistan,9,0,0,27,1
916,2022-01-31,Sweden,2,0,0,6,1
917,2022-01-31,Japan,43,0,0,77,1
918,2022-02-01,Afghanistan,9,0,0,28,0
919,2022-02-01,Sweden,2,0,0,6,1
920,2022-02-01,Japan,43,0,0,77,1
921,2022-02-02,Afghanistan,9,0,0,28,0
922,2022-02-02,Sweden,2,0,0,6,1
923,2022-02-02,Japan,43,0,0,77,1
924,2022-02-03,Afghanistan,9,0,0,28,0
925,2022-02-03,Sweden,2,0,0,6,1
926,2022-02-03,Japan,43,0,0,77,1
927,2022-02-04,Afghanistan,9,0,0,28,0
928,2022-02-04,Sweden,2,0,0,6,1
929,2022-02-04,Japan,43,0,0,77,1
930,2022-02-05,Afghanistan,9,0,0,28,0
931,2022-02-05,Sweden,2,0,0,6,1
932,2022-02-05,Japan,43,0,0,77,1
933,2022-02-06,Afghanistan,9,0,0,28,0
934,2022-02-06,Sweden,2,0,0,6,1
935,2022-02-06,Japan,43,0,0,77,1
936,2022-02-07,Afghanistan,9,0,0,28,0
937,2022-02-07,Sweden,2,0,0,6,1
938,2022-02-07,Japan,43,0,0,78,0
939,2022-02-08,Afghanistan,9,0,0,28,0
940,2022-02-08,Sweden,2,0,0,7,0
941,2022-02-08,Japan,43,0,0,78,0
942,2022-02-09,Afghanistan,9,0,0,28,0
943,2022-02-09,Sweden,2,0,0,7,0
944,2022-02-09,Japan,43,0,0,78,0
945,2022-02-10,Afghanistan,9,0,0,28,0
946,2022-02-10,Sweden,2,0,0,7,0
947,2022-02-10,Japan,43,0,0,78,0
948,2022-02-11,Afghanistan,9,0,0,28,0
949,2022-02-11,Sweden,2,0,0,7,0
950,2022-02-11,Japan,43,0,0,78,0
951,2022-02-12,Afghanistan,9,0,0,28,0
952,2022-02-12,Sweden,2,0,0,7,0
953,2022-02-12,Japan,43,0,0,78,0
954,2022-02-13,Afghanistan,9,0,0,28,0
955,2022-02-13,Sweden,2,0,0,7,0
956,2022-02-13,Japan,43,0,0,78,0
957,2022-02-14,Afghanistan,9,0,0,28,0
958,2022-02-14,Sweden,2,0,0,7,0
959,2022-02-14,Japan,43,0,0,78,0
960,2022-02-15,Afghanistan,9,0,0,28,0
961,2022-02-15,Sweden,2,0,0,7,0
962,2022-02-15,Japan,43,0,0,78,0
963,2022-02-16,Afghanistan,9,0,0,28,0
964,2022-02-16,Sweden,2,0,0,7,0
965,2022-02-16,Japan,43,0,0,78,0
966,2022-02-17,Afghanistan,9,0,0,28,0
967,2022-02-17,Sweden,2,0,0,7,0
968,2022-02-17,Japan,43,0,0,78,0
969,2022-02-18,Afghanistan,9,0,0,28,0
970,2022-02-18,Sweden,2,0,0,7,0
971,2022-02-18,Japan,43,0,0,78,0
972,2022-02-19,Afghanistan,9,0,0,28,0
973,2022-02-19,Sweden,2,0,0,7,0
974,2022-02-19,Japan,43,0,0,78,0
975,2022-02-20,Afghanistan,9,0,0,28,0
976,2022-02-20,Sweden,2,0,0,7,0
977,2022-02-20,Japan,43,0,0,78,0
978,2022-02-21,Afghanistan,9,0,0,28,0
979,2022-02-21,Sweden,2,0,0,7,0
980,2022-02-21,Japan,43,0,0,78,0
981,2022-02-22,Afghanistan,9,0,0,28,0
982,2022-02-22,Sweden,2,0,0,7,0
983,2022-02-22,Japan,43,0,0,78,0
984,2022-02-23,Afghanistan,9,0,0,28,0
985,2022-02-23,Sweden,2,0,0,7,0
986,2022-02-23,Japan,43,0,0,78,0
987,2022-02-24,Afghanistan,9,0,0,28,0
988,2022-02-24,Sweden,2,0,0,7,0
989,2022-02-24,Japan,43,0,0,78,0
990,2022-02-25,Afghanistan,9,0,0,28,0
991,2022-02-25,Sweden,2,0,0,7,0
992,2022-02-25,Japan,43,0,0,78,0
993,2022-02-26,Afghanistan,9,0,0,28,0
994,2022-02-26,Sweden,2,0,0,7,0
995,2022-02-26,Japan,43,0,0,78,0
996,2022-02-27,Afghanistan,9,0,0,28,0
997,2022-02-27,Sweden,2,0,0,7,0
998,2022-02-27,Japan,43,0,0,78,0
999,2022-02-28,Afghanistan,9,0,0,28,0
1000,2022-02-28,Sweden,2,0,0,7,0
1001,2022-02-28,Japan,43,0,0,78,0
1002,2022-03-01,Afghanistan,9,0,0,28,0
1003,2022-03-01,Sweden,2,0,0,7,0
1004,2022-03-01,Japan,43,0,0,78,0
1005,2022-03-02,Afghanistan,9,0,0,28,0
1006,2022-03-02,Sweden,2,0,0,7,0
1007,2022-03-02,Japan,43,0,0,78,0
1008,2022-03-03,Afghanistan,9,0,0,28,0
1009,2022-03-03,Sweden,2,0,0,7,0
1010,2022-03-03,Japan,43,0,0,78,0
1011,2022-03-04,Afghanistan,9,0,0,28,0
1012,2022-03-04,Sweden,2,0,0,7,0
1013,2022-03-04,Japan,43,0,0,78,0
1014,2022-03-05,Afghanistan,9,0,0,28,0
1015,2022-03-05,Sweden,2,0,0,7,0
1016,2022-03-05,Japan,43,0,0,78,0
1017,2022-03-06,Afghanistan,9,0,0,28,0
1018,2022-03-06,Sweden,2,0,0,7,0
1019,2022-03-06,Japan,43,0,0,78,0
1020,2022-03-07,Afghanistan,9,0,0,28,0
1021,2022-03-07,Sweden,2,0,0,7,0
1022,2022-03-07,Japan,43,0,0,78,0
1023,2022-03-08,Afghanistan,9,0,0,28,0
1024,2022-03-08,Sweden,2,0,0,7,0
1025,2022-03-08,Japan,43,0,0,78,0
1026,2022-03-09,Afghanistan,9,0,0,28,0
1027,2022-03-09,Sweden,2,0,0,7,0
1028,2022-03-09,Japan,43,0,0,78,0
1029,2022-03-10,Afghanistan,9,0,0,28,0
1030,2022-03-10,Sweden,2,0,0,7,0
1031,2022-03-10,Japan,43,0,0,78,0
1032,2022-03-11,Afghanistan,9,0,0,28,0
1033,2022-03-11,Sweden,2,0,0,7,0
1034,2022-03-11,Japan,43,0,0,78,0
1035,2022-03-12,Afghanistan,9,0,0,28,0
1036,2022-03-12,Sweden,2,0,0,7,0
1037,2022-03-12,Japan,43,0,0,78,0
1038,2022-03-13,Afghanistan,9,0,0,28,0
1039,2022-03-13,Sweden,2,0,0,7,0
1040,2022-03-13,Japan,43,0,0,78,0
1041,2022-03-14,Afghanistan,9,0,0,28,0
1042,2022-03-14,Sweden,2,0,0,7,0
1043,2022-03-14,Japan,43,0,0,78,0
1044,2022-03-15,Afghanistan,9,0,0,28,0
1045,2022-03-15,Sweden,2,0,0,7,0
1046,2022-03-15,Japan,43,0,0,78,0
1047,2022-03-16,Afghanistan,9,0,0,28,0
1048,2022-03-16,Sweden,2,0,0,7,0
1049,2022-03-16,Japan,43,0,0,78,0
1050,2022-03-17,Afghanistan,9,0,0,28,0
1051,2022-03-17,Sweden,2,0,0,7,0
1052,2022-03-17,Japan,43,0,0,78,0
1053,2022-03-18,Afghanistan,9,0,0,28,0
1054,2022-03-18,Sweden,2,0,0,7,0
1055,2022-03-18,Japan,43,0,0,78,0
1056,2022-03-19,Afghanistan,9,0,0,28,0
1057,2022-03-19,Sweden,2,0,0,7,0
1058,2022-03-19,Japan,43,0,0,78,0
1059,2022-03-20,Afghanistan,9,0,0,28,0
1060,2022-03-20,Sweden,2,0,0,7,0
1061,2022-03-20,Japan,43,0,0,78,0
1062,2022-03-21,Afghanistan,9,0,0,28,0
1063,2022-03-21,Sweden,2,0,0,7,0
1064,2022-03-21,Japan,43,0,0,78,0
1065,2022-03-22,Afghanistan,9,0,0,28,0
1066,2022-03-22,Sweden,2,0,0,7,0
1067,2022-03-22,Japan,43,0,0,78,0
1068,2022-03-23,Afghanistan,9,0,0,28,0
1069,2022-03-23,Sweden,2,0,0,7,0
1070,2022-03-23,Japan,43,0,0,78,0
1071,2022-03-24,Afghanistan,9,0,0,28,0
1072,2022-03-24,Sweden,2,0,0,7,0
1073,2022-03-24,Japan,43,0,0,78,0
1074,2022-03-25,Afghanistan,9,0,0,28,0
1075,2022-03-25,Sweden,2,0,0,7,0
1076,2022-03-25,Japan,43,0,0,78,0
1077,2022-03-26,Afghanistan,9,0,0,28,0
1078,2022-03-26,Sweden,2,0,0,7,0
1079,2022-03-26,Japan,43,0,0,78,0
1080,2022-03-27,Afghanistan,9,0,0,28,0
1081,2022-03-27,Sweden,2,0,0,7,0
1082,2022-03-27,Japan,43,0,0,78,0
1083,2022-03-28,Afghanistan,9,0,0,28,0
1084,2022-03-28,Sweden,2,0,0,7,0
1085,2022-03-28,Japan,43,0,0,78,0
1086,2022-03-29,Afghanistan,9,0,0,28,0
1087,2022-03-29,Sweden,2,0,0,7,0
1088,2022-03-29,Japan,43,0,0,78,0
1089,2022-03-30,Afghanistan,9,0,0,28,0
1090,2022-03-30,Sweden,2,0,0,7,0
1091,2022-03-30,Japan,43,0,0,78,0
1092,2022-03-31,Afghanistan,9,0,0,28,0
1093,2022-03-31,Sweden,2,0,0,7,0
1094,2022-03-31,Japan,43,0,0,78,0
1095,2022-04-01,Afghanistan,9,0,0,28,0
1096,2022-04-01,Sweden,2,0,0,7,0
1097,2022-04-01,Japan,43,0,0,78,0
1098,2022-04-02,Afghanistan,9,0,0,28,0
1099,2022-04-02,Sweden,2,0,0,7,0
1100,2022-04-02,Japan,43,0,0,78,0
1101,2022-04-03,Afghanistan,9,0,0,28,0
1102,2022-04-03,Sweden,2,0,0,7,0
1103,2022-04-03,Japan,43,0,0,78,0
1104,2022-04-04,Afghanistan,9,0,0,28,0
1105,2022-04-04,Sweden,2,0,0,7,0
1106,2022-04-04,Japan,43,0,0,78,0
1107,2022-04-05,Afghanistan,9,0,0,28,0
1108,2022-04-05,Sweden,2,0,0,7,0
1109,2022-04-05,Japan,43,0,0,78,0
1110,2022-04-06,Afghanistan,9,0,0,28,0
1111,2022-04-06,Sweden,2,0,0,7,0
1112,2022-04-06,Japan,43,0,0,78,0
1113,2022-04-07,Afghanistan,9,0,0,28,0
1114,2022-04-07,Sweden,2,0,0,7,0
1115,2022-04-07,Japan,43,0,0,78,0
1116,2022-04-08,Afghanistan,9,0,0,28,0
1117,2022-04-08,Sweden,2,0,0,7,0
1118,2022-04-08,Japan,43,0,0,78,0
1119,2022-04-09,Afghanistan,9,0,0,28,0
1120,2022-04-09,Sweden,2,0,0,7,0
1121,2022-04-09,Japan,43,0,0,78,0
1122,2022-04-10,Afghanistan,9,0,0,28,0
1123,2022-04-10,Sweden,2,0,0,7,0
1124,2022-04-10,Japan,43,0,0,78,0
1125,2022-04-11,Afghanistan,9,0,0,28,0
1126,2022-04-11,Sweden,2,0,0,7,0
1127,2022-04-11,Japan,43,1,0,77,0
1128,2022-04-12,Afghanistan,9,0,0,28,0
1129,2022-04-12,Sweden,2,0,0,7,0
1130,2022-04-12,Japan,43,1,1,76,0
1131,2022-04-13,Afghanistan,9,0,0,28,0
1132,2022-04-13,Sweden,2,0,0,7,0
1133,2022-04-13,Japan,43,3,1,74,0
1134,2022-04-14,Afghanistan,9,0,0,28,0
1135,2022-04-14,Sweden,2,0,0,7,0
1136,2022-04-14,Japan,43,7,1,70,0
1137,2022-04-15,Afghanistan,9,0,0,28,0
1138,2022-04-15,Sweden,2,0,0,7,0
1139,2022-04-15,Japan,43,8,2,68,0
